neighbourhood_group,latitude,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
2.0,40.72381,-73.97896,1.0,26.0,3.0,129.0
1.0,40.68899,-73.95555,1.0,28.0,1.0,0.0
1.0,40.6832,-73.90639,0.0,2.0,3.0,0.0
2.0,40.72863,-74.00137,0.0,4.0,1.0,259.0
2.0,40.8327,-73.94028,2.0,1.0,2.0,0.0
1.0,40.66326,-73.98805,1.0,1.0,4.0,24.0
1.0,40.67033,-73.96161,1.0,30.0,1.0,136.0
1.0,40.68366,-73.9247,1.0,2.0,1.0,6.0
2.0,40.81141,-73.94051,1.0,3.0,1.0,365.0
1.0,40.68474,-73.98862,1.0,1.0,1.0,0.0
0.0,40.87765,-73.86318,0.0,5.0,1.0,235.0
1.0,40.67476,-73.95312,1.0,2.0,2.0,162.0
2.0,40.72653,-73.97949,1.0,1.0,1.0,188.0
2.0,40.80482,-73.96493,1.0,30.0,3.0,339.0
1.0,40.71568,-73.94415,1.0,2.0,1.0,3.0
1.0,40.71368,-73.94478,0.0,3.0,1.0,0.0
1.0,40.68209,-73.91323,0.0,2.0,1.0,64.0
1.0,40.71786,-73.95434,0.0,1.0,1.0,8.0
2.0,40.7157,-73.99183,0.0,31.0,1.0,365.0
0.0,40.82507,-73.8204,1.0,3.0,1.0,36.0
2.0,40.74943,-73.97945,0.0,2.0,1.0,13.0
1.0,40.6984,-73.91476,1.0,1.0,1.0,0.0
4.0,40.64475,-74.07811,1.0,1.0,1.0,0.0
3.0,40.69464,-73.75184,0.0,3.0,1.0,3.0
1.0,40.66278,-73.99206,0.0,2.0,1.0,121.0
1.0,40.70263,-73.93488,1.0,5.0,3.0,4.0
2.0,40.72984,-73.98588,0.0,3.0,1.0,45.0
2.0,40.71899,-73.98968,1.0,1.0,3.0,155.0
2.0,40.78644,-73.9438,1.0,30.0,9.0,311.0
1.0,40.69248,-73.93162,0.0,2.0,1.0,18.0
0.0,40.89641,-73.85077,0.0,5.0,4.0,322.0
2.0,40.82868,-73.94678,0.0,1.0,2.0,44.0
2.0,40.76425,-73.97642,1.0,1.0,14.0,343.0
2.0,40.7551,-73.96507,0.0,30.0,65.0,364.0
2.0,40.7953,-73.97248,0.0,2.0,1.0,0.0
2.0,40.82883,-73.94468,0.0,15.0,1.0,0.0
1.0,40.64245,-73.95216,0.0,2.0,6.0,87.0
1.0,40.69016,-73.9274,1.0,2.0,2.0,0.0
1.0,40.73005,-73.95807,0.0,2.0,1.0,257.0
3.0,40.76333,-73.91187,1.0,2.0,1.0,53.0
2.0,40.85268,-73.92716,0.0,1.0,1.0,2.0
2.0,40.76077,-73.99427,0.0,3.0,1.0,54.0
1.0,40.71165,-73.94708,0.0,5.0,1.0,91.0
1.0,40.67417,-73.94028,1.0,5.0,5.0,147.0
1.0,40.6924,-73.93485,1.0,5.0,1.0,0.0
4.0,40.59546,-74.06092,0.0,7.0,3.0,365.0
2.0,40.71913,-73.99835,1.0,2.0,2.0,0.0
3.0,40.77244,-73.80061,1.0,30.0,3.0,342.0
1.0,40.68863,-73.97691,1.0,2.0,2.0,0.0
1.0,40.58403,-73.95692,0.0,3.0,3.0,156.0
3.0,40.73534,-73.87767,1.0,29.0,5.0,2.0
2.0,40.80375,-73.93599,0.0,3.0,2.0,132.0
0.0,40.80838,-73.93091,2.0,1.0,8.0,363.0
1.0,40.67847,-73.96694,0.0,2.0,1.0,0.0
2.0,40.74419,-73.97186,0.0,29.0,96.0,335.0
1.0,40.7116,-73.95606,1.0,2.0,2.0,363.0
2.0,40.72052,-73.98347,1.0,2.0,1.0,0.0
2.0,40.77744,-73.95476,0.0,3.0,1.0,0.0
2.0,40.74434,-73.97758,2.0,2.0,3.0,297.0
2.0,40.79826,-73.96113,1.0,2.0,1.0,333.0
1.0,40.67301,-73.95312,0.0,30.0,2.0,171.0
1.0,40.68626,-73.97138,1.0,2.0,1.0,251.0
2.0,40.82649,-73.95253,1.0,2.0,2.0,114.0
0.0,40.8198,-73.90341,1.0,1.0,1.0,0.0
1.0,40.6918,-73.94341,1.0,2.0,2.0,251.0
1.0,40.7142,-73.96408,1.0,3.0,1.0,0.0
1.0,40.69758,-73.99139,0.0,2.0,1.0,0.0
2.0,40.78617,-73.97663,2.0,1.0,4.0,81.0
2.0,40.75287,-73.99066,0.0,2.0,1.0,0.0
3.0,40.74875,-73.82775,1.0,7.0,12.0,160.0
2.0,40.7205,-73.9986,0.0,2.0,1.0,0.0
2.0,40.7429,-73.9956,0.0,29.0,96.0,335.0
1.0,40.6919,-73.93866,0.0,2.0,1.0,209.0
2.0,40.72516,-74.00242,0.0,3.0,1.0,0.0
2.0,40.80399,-73.94665,1.0,250.0,1.0,138.0
3.0,40.74258,-73.89315,1.0,30.0,15.0,40.0
3.0,40.76957,-73.91502,1.0,2.0,1.0,302.0
2.0,40.84662,-73.93436,1.0,1.0,1.0,138.0
1.0,40.72015,-73.96403,1.0,3.0,2.0,234.0
2.0,40.73459,-74.00143,0.0,2.0,1.0,0.0
1.0,40.65562,-74.00295,1.0,2.0,1.0,0.0
1.0,40.68233,-73.97778,0.0,3.0,1.0,0.0
2.0,40.81246,-73.94906,0.0,2.0,1.0,72.0
1.0,40.7196,-73.95956,0.0,3.0,2.0,0.0
1.0,40.70518,-73.92165,1.0,1.0,3.0,179.0
1.0,40.70204,-73.91684,0.0,2.0,1.0,15.0
1.0,40.69414,-73.92477,0.0,2.0,1.0,4.0
1.0,40.70026,-73.92026,1.0,30.0,17.0,315.0
2.0,40.76353,-73.98839,2.0,1.0,3.0,208.0
2.0,40.74653,-73.99632,0.0,1.0,1.0,358.0
2.0,40.7631,-73.96393,0.0,3.0,1.0,0.0
1.0,40.71577,-73.94084,1.0,1.0,1.0,0.0
2.0,40.82788,-73.93905,0.0,15.0,1.0,0.0
2.0,40.79376,-73.96734,0.0,2.0,1.0,0.0
1.0,40.67329,-73.98311,0.0,3.0,1.0,0.0
2.0,40.80238,-73.96737,0.0,1.0,1.0,0.0
1.0,40.71586,-73.94044,1.0,2.0,1.0,0.0
1.0,40.71381,-73.93619,0.0,7.0,1.0,0.0
1.0,40.72721,-73.94951,1.0,1.0,1.0,0.0
1.0,40.69446,-73.99689,0.0,3.0,1.0,0.0
2.0,40.86612,-73.9189,0.0,6.0,1.0,0.0
4.0,40.63568,-74.07826,0.0,4.0,3.0,173.0
3.0,40.75899,-73.82245,0.0,30.0,15.0,281.0
1.0,40.73284,-73.95919,1.0,3.0,1.0,0.0
1.0,40.68176,-73.91435,1.0,2.0,10.0,363.0
3.0,40.69956,-73.89801,0.0,4.0,1.0,0.0
1.0,40.68449,-73.92773,0.0,1.0,1.0,195.0
3.0,40.756,-73.91589,1.0,2.0,1.0,87.0
2.0,40.82336,-73.94512,1.0,30.0,8.0,67.0
2.0,40.76063,-73.95938,0.0,3.0,1.0,0.0
2.0,40.80486,-73.94889,0.0,3.0,1.0,1.0
2.0,40.83397,-73.94541,1.0,1.0,2.0,80.0
1.0,40.70728,-73.92989,1.0,1.0,3.0,0.0
1.0,40.69239,-73.91416,1.0,1.0,3.0,365.0
2.0,40.71363,-73.9977,0.0,2.0,1.0,207.0
3.0,40.66222,-73.76324,1.0,2.0,6.0,365.0
3.0,40.75792,-73.92249,1.0,1.0,2.0,89.0
2.0,40.83039,-73.94532,1.0,30.0,3.0,365.0
3.0,40.70949,-73.79304,0.0,1.0,1.0,0.0
2.0,40.76428,-73.9941,0.0,3.0,1.0,0.0
1.0,40.71193,-73.96383,0.0,4.0,1.0,257.0
2.0,40.74837,-73.99639,1.0,1.0,12.0,344.0
1.0,40.6699,-73.94169,1.0,15.0,3.0,333.0
2.0,40.75661,-73.96396,1.0,2.0,4.0,314.0
2.0,40.80974,-73.96034,1.0,7.0,1.0,0.0
2.0,40.76398,-73.96581,0.0,1.0,1.0,3.0
2.0,40.73718,-73.98373,1.0,5.0,1.0,0.0
2.0,40.72316,-73.99329,1.0,7.0,1.0,89.0
3.0,40.74071,-73.9191,1.0,1.0,1.0,0.0
3.0,40.77679,-73.91687,0.0,28.0,1.0,313.0
1.0,40.68671,-73.98541,0.0,1.0,1.0,0.0
0.0,40.83372,-73.91187,1.0,2.0,2.0,81.0
2.0,40.74584,-73.98474,0.0,29.0,96.0,365.0
1.0,40.72124,-73.95847,0.0,1.0,1.0,365.0
1.0,40.67855,-73.94949,0.0,3.0,4.0,308.0
1.0,40.70686,-73.95538,1.0,2.0,2.0,0.0
2.0,40.76021,-73.99976,0.0,1.0,1.0,133.0
2.0,40.80243,-73.9706,1.0,2.0,2.0,0.0
2.0,40.76219,-73.98564,0.0,2.0,4.0,304.0
1.0,40.6583,-73.9514,1.0,2.0,1.0,79.0
1.0,40.69353,-73.96784,1.0,1.0,1.0,0.0
1.0,40.6566,-73.96148,0.0,5.0,1.0,0.0
3.0,40.73716,-73.91848,1.0,1.0,2.0,0.0
2.0,40.76334,-73.98909,0.0,30.0,91.0,105.0
1.0,40.71881,-73.96397,1.0,5.0,1.0,0.0
2.0,40.75228,-73.97195,0.0,4.0,1.0,0.0
2.0,40.79322,-73.96726,0.0,5.0,1.0,0.0
1.0,40.69971,-73.93068,0.0,9.0,2.0,159.0
1.0,40.66587,-73.97881,0.0,13.0,1.0,0.0
2.0,40.73686,-73.99349,0.0,5.0,1.0,0.0
2.0,40.76954,-73.94904,0.0,2.0,1.0,0.0
3.0,40.76799,-73.91234,1.0,1.0,5.0,138.0
1.0,40.65056,-73.94994,0.0,2.0,2.0,0.0
0.0,40.88764,-73.8558,0.0,2.0,1.0,107.0
2.0,40.74798,-73.99532,1.0,1.0,12.0,360.0
2.0,40.82918,-73.94857,0.0,10.0,1.0,0.0
1.0,40.66722,-73.97811,0.0,2.0,1.0,0.0
3.0,40.73922,-73.9265,1.0,1.0,1.0,76.0
2.0,40.74573,-73.99049,0.0,30.0,65.0,339.0
1.0,40.67812,-73.9771,0.0,4.0,1.0,0.0
2.0,40.76463,-73.99128,0.0,3.0,1.0,353.0
1.0,40.64351,-73.91406,1.0,1.0,4.0,334.0
1.0,40.66604,-73.95914,0.0,3.0,1.0,343.0
2.0,40.80728,-73.96634,1.0,1.0,1.0,0.0
1.0,40.6904,-73.99376,0.0,3.0,1.0,15.0
0.0,40.87846,-73.86311,0.0,2.0,2.0,358.0
2.0,40.76044,-73.99051,0.0,3.0,1.0,0.0
2.0,40.7214,-73.99635,1.0,1.0,3.0,0.0
2.0,40.74384,-73.98243,2.0,1.0,1.0,0.0
3.0,40.7084,-73.78882,0.0,3.0,1.0,37.0
2.0,40.7608,-73.9947,1.0,3.0,1.0,0.0
1.0,40.66362,-73.94926,0.0,5.0,1.0,0.0
1.0,40.72812,-73.95619,0.0,5.0,1.0,4.0
2.0,40.77711,-73.9527,0.0,4.0,2.0,290.0
2.0,40.77778,-73.97795,0.0,4.0,1.0,0.0
1.0,40.6847,-73.91624,0.0,5.0,1.0,254.0
1.0,40.7131,-73.96004,1.0,3.0,2.0,188.0
4.0,40.53076,-74.20295,0.0,14.0,1.0,23.0
1.0,40.68635,-73.93246,1.0,2.0,7.0,66.0
1.0,40.68645,-73.97538,1.0,3.0,2.0,305.0
2.0,40.74731,-73.98821,0.0,1.0,17.0,221.0
2.0,40.7187,-73.99043,0.0,3.0,1.0,0.0
2.0,40.78342,-73.97312,0.0,30.0,91.0,127.0
1.0,40.70807,-73.95565,0.0,3.0,1.0,0.0
1.0,40.71494,-73.93906,1.0,30.0,1.0,271.0
3.0,40.77012,-73.90919,1.0,1.0,5.0,19.0
3.0,40.59065,-73.79563,0.0,2.0,1.0,76.0
1.0,40.71919,-73.95789,1.0,2.0,1.0,0.0
1.0,40.66916,-73.93182,0.0,2.0,1.0,87.0
1.0,40.71119,-73.96471,1.0,3.0,1.0,0.0
2.0,40.741,-73.99957,0.0,2.0,1.0,0.0
2.0,40.80924,-73.93873,0.0,2.0,1.0,0.0
3.0,40.7495,-73.93676,1.0,3.0,2.0,42.0
1.0,40.64574,-73.94675,1.0,1.0,2.0,34.0
2.0,40.71647,-73.99116,0.0,1.0,4.0,0.0
3.0,40.72116,-73.83948,0.0,2.0,1.0,0.0
1.0,40.72898,-73.95552,0.0,1.0,1.0,188.0
2.0,40.75266,-73.97378,0.0,3.0,1.0,0.0
1.0,40.70283,-73.92131,1.0,3.0,1.0,0.0
3.0,40.75733,-73.94176,1.0,2.0,2.0,81.0
2.0,40.72605,-73.98705,0.0,17.0,1.0,0.0
1.0,40.69072,-73.92531,1.0,1.0,1.0,0.0
1.0,40.68667,-73.9154,1.0,5.0,1.0,0.0
1.0,40.65565,-73.93573,0.0,3.0,1.0,0.0
3.0,40.75985,-73.88233,2.0,1.0,1.0,89.0
2.0,40.7402,-73.97935,0.0,2.0,1.0,0.0
2.0,40.72154,-73.99331,1.0,28.0,1.0,0.0
2.0,40.82008,-73.95523,0.0,5.0,1.0,34.0
1.0,40.70596,-73.93847,1.0,2.0,2.0,365.0
1.0,40.70165,-73.92056,0.0,1.0,1.0,335.0
3.0,40.5903,-73.8143,1.0,2.0,1.0,365.0
1.0,40.66957,-73.95764,1.0,1.0,1.0,146.0
1.0,40.66184,-73.93436,1.0,1.0,6.0,365.0
2.0,40.80392,-73.96556,1.0,1.0,4.0,31.0
1.0,40.71711,-73.94259,1.0,1.0,1.0,0.0
1.0,40.67883,-73.97051,1.0,1.0,13.0,320.0
2.0,40.75093,-73.99675,0.0,3.0,1.0,0.0
1.0,40.69774,-73.97502,1.0,30.0,25.0,341.0
1.0,40.71433,-73.95679,0.0,7.0,1.0,230.0
1.0,40.65841,-73.95016,1.0,4.0,3.0,43.0
1.0,40.68115,-73.98876,1.0,30.0,1.0,0.0
3.0,40.73691,-73.92826,0.0,2.0,1.0,56.0
3.0,40.74372,-73.92416,0.0,1.0,1.0,179.0
2.0,40.75669,-73.96199,0.0,30.0,14.0,329.0
2.0,40.73408,-73.98163,0.0,3.0,1.0,345.0
2.0,40.73764,-73.99887,0.0,3.0,1.0,0.0
1.0,40.68529,-73.97365,0.0,3.0,1.0,0.0
1.0,40.71414,-73.96334,0.0,2.0,1.0,0.0
1.0,40.7197,-73.95741,0.0,30.0,1.0,363.0
2.0,40.80713,-73.9542,1.0,2.0,2.0,0.0
3.0,40.68842,-73.77677,1.0,2.0,1.0,311.0
2.0,40.73934,-74.00146,0.0,3.0,1.0,173.0
2.0,40.78002,-73.95284,0.0,30.0,91.0,343.0
2.0,40.75361,-73.97215,0.0,3.0,3.0,0.0
2.0,40.7992,-73.93879,1.0,1.0,1.0,0.0
1.0,40.70784,-73.94698,1.0,2.0,1.0,188.0
2.0,40.76054,-73.96449,0.0,30.0,2.0,148.0
1.0,40.69295,-73.90792,0.0,2.0,1.0,256.0
1.0,40.67415,-73.95627,1.0,4.0,1.0,14.0
1.0,40.69458,-73.94314,1.0,1.0,2.0,190.0
2.0,40.7695,-73.9532,0.0,2.0,1.0,0.0
2.0,40.79764,-73.96177,0.0,3.0,1.0,198.0
2.0,40.79212,-73.95032,1.0,2.0,1.0,0.0
2.0,40.74439,-73.98125,0.0,29.0,31.0,139.0
1.0,40.6815,-73.98028,0.0,30.0,2.0,299.0
1.0,40.6825,-73.95888,1.0,1.0,2.0,82.0
1.0,40.68885,-73.94349,1.0,1.0,1.0,0.0
2.0,40.79727,-73.96865,1.0,3.0,1.0,67.0
3.0,40.71923,-73.85189,1.0,1.0,2.0,176.0
3.0,40.74367,-73.91247,1.0,1.0,1.0,179.0
1.0,40.69847,-73.92478,0.0,3.0,1.0,359.0
2.0,40.8466,-73.93432,1.0,3.0,2.0,0.0
2.0,40.73493,-73.98655,0.0,3.0,2.0,19.0
1.0,40.69344,-73.9652,0.0,4.0,1.0,40.0
1.0,40.69161,-73.90563,1.0,3.0,1.0,0.0
2.0,40.76768,-73.95455,0.0,2.0,1.0,57.0
2.0,40.73432,-73.99686,0.0,31.0,4.0,328.0
0.0,40.81952,-73.92844,0.0,2.0,1.0,193.0
1.0,40.6844,-73.91878,1.0,2.0,1.0,18.0
1.0,40.71763,-73.95594,1.0,30.0,3.0,310.0
3.0,40.76243,-73.93044,0.0,25.0,1.0,177.0
3.0,40.73958,-73.87288,1.0,1.0,1.0,0.0
2.0,40.73193,-73.99126,0.0,30.0,87.0,356.0
2.0,40.82408,-73.94643,0.0,2.0,2.0,0.0
2.0,40.76192,-73.98696,0.0,30.0,7.0,311.0
2.0,40.71214,-73.98955,1.0,5.0,3.0,20.0
2.0,40.70595,-74.00974,0.0,2.0,1.0,335.0
2.0,40.80214,-73.95325,1.0,6.0,1.0,0.0
1.0,40.68796,-73.91906,1.0,5.0,3.0,236.0
2.0,40.73932,-73.97997,0.0,30.0,8.0,363.0
1.0,40.66516,-73.9794,1.0,2.0,1.0,78.0
1.0,40.69554,-73.92511,1.0,1.0,2.0,365.0
1.0,40.73266,-73.95841,1.0,3.0,1.0,0.0
2.0,40.75385,-73.96573,0.0,28.0,49.0,234.0
1.0,40.64314,-73.95817,0.0,2.0,1.0,255.0
2.0,40.81394,-73.95334,1.0,2.0,9.0,112.0
1.0,40.71077,-73.96259,2.0,1.0,1.0,0.0
1.0,40.65112,-73.95165,0.0,2.0,1.0,0.0
1.0,40.6865,-73.9729,2.0,2.0,5.0,31.0
2.0,40.74458,-74.00644,2.0,1.0,1.0,0.0
2.0,40.7465,-73.9981,0.0,15.0,1.0,299.0
3.0,40.68378,-73.83136,0.0,2.0,2.0,345.0
3.0,40.75174,-73.92967,0.0,7.0,1.0,0.0
1.0,40.71005,-73.95509,1.0,7.0,1.0,0.0
2.0,40.72716,-73.98436,0.0,5.0,1.0,141.0
1.0,40.70771,-73.94344,0.0,3.0,1.0,0.0
1.0,40.68121,-73.96319,0.0,7.0,1.0,0.0
2.0,40.77981,-73.98499,0.0,5.0,1.0,118.0
2.0,40.71904,-73.99392,1.0,1.0,3.0,364.0
2.0,40.76535,-73.98874,1.0,4.0,1.0,188.0
2.0,40.85622,-73.93147,0.0,1.0,1.0,0.0
1.0,40.65193,-73.97743,0.0,3.0,1.0,194.0
1.0,40.71494,-73.94652,0.0,90.0,1.0,364.0
1.0,40.67371,-73.9769,1.0,1.0,1.0,351.0
1.0,40.68669,-73.91989,1.0,1.0,4.0,311.0
2.0,40.78587,-73.94764,0.0,2.0,2.0,283.0
1.0,40.69189,-73.95936,1.0,2.0,1.0,0.0
1.0,40.68763,-73.92694,1.0,30.0,5.0,247.0
2.0,40.72234,-73.99625,1.0,7.0,1.0,0.0
1.0,40.68063,-73.91156,0.0,1.0,1.0,309.0
1.0,40.63337,-73.94578,1.0,1.0,8.0,189.0
1.0,40.72927,-73.9477,0.0,2.0,1.0,45.0
2.0,40.72931,-73.98222,0.0,2.0,1.0,0.0
1.0,40.69155,-73.92518,1.0,1.0,2.0,167.0
1.0,40.71789,-73.9579,0.0,1.0,3.0,243.0
1.0,40.65634,-73.95704,1.0,30.0,1.0,0.0
2.0,40.72768,-73.98739,1.0,4.0,2.0,156.0
2.0,40.72295,-73.99481,1.0,1.0,2.0,0.0
2.0,40.77467,-73.95405,0.0,30.0,9.0,331.0
3.0,40.75398,-73.90083,1.0,10.0,1.0,0.0
1.0,40.68911,-73.86922,0.0,2.0,2.0,289.0
2.0,40.75958,-73.96231,1.0,2.0,1.0,348.0
1.0,40.71462,-73.95278,0.0,3.0,2.0,24.0
1.0,40.63976,-73.96419,1.0,7.0,4.0,130.0
2.0,40.71182,-74.00497,0.0,3.0,1.0,0.0
2.0,40.72082,-73.9879,0.0,1.0,3.0,217.0
2.0,40.80234,-73.95603,1.0,30.0,1.0,365.0
2.0,40.77972,-73.97871,1.0,3.0,2.0,0.0
0.0,40.88165,-73.85625,1.0,5.0,2.0,313.0
1.0,40.68675,-73.95341,1.0,2.0,1.0,0.0
2.0,40.79803,-73.93234,0.0,4.0,1.0,0.0
1.0,40.69025,-73.9303,1.0,5.0,1.0,0.0
2.0,40.79854,-73.96089,1.0,3.0,1.0,90.0
2.0,40.81981,-73.95353,1.0,1.0,7.0,60.0
1.0,40.70115,-73.9212,1.0,6.0,1.0,0.0
2.0,40.8077,-73.94345,0.0,4.0,1.0,0.0
1.0,40.67834,-73.96685,1.0,180.0,1.0,0.0
4.0,40.6339,-74.08513,1.0,3.0,3.0,88.0
2.0,40.72189,-73.99133,1.0,1.0,2.0,20.0
2.0,40.78844,-73.94951,0.0,2.0,1.0,199.0
2.0,40.7487,-73.99514,1.0,2.0,1.0,66.0
1.0,40.71813,-73.95758,0.0,3.0,1.0,0.0
3.0,40.74588,-73.95377,0.0,5.0,1.0,0.0
1.0,40.69441,-73.94848,1.0,2.0,4.0,365.0
3.0,40.7453,-73.92311,0.0,1.0,2.0,0.0
1.0,40.69321,-73.94207,1.0,3.0,1.0,0.0
2.0,40.75914,-73.96591,0.0,29.0,1.0,165.0
1.0,40.63825,-73.95654,0.0,2.0,1.0,0.0
1.0,40.70484,-73.92646,1.0,4.0,1.0,0.0
3.0,40.75771,-73.92724,1.0,1.0,5.0,318.0
1.0,40.71171,-73.95704,0.0,1.0,1.0,151.0
2.0,40.7464,-73.97669,1.0,1.0,1.0,0.0
2.0,40.75607,-73.96768,0.0,4.0,1.0,157.0
2.0,40.71655,-73.99042,0.0,4.0,1.0,0.0
3.0,40.58344,-73.81456,0.0,1.0,1.0,124.0
0.0,40.82528,-73.86004,1.0,2.0,2.0,156.0
3.0,40.74238,-73.91783,1.0,3.0,1.0,177.0
1.0,40.63818,-74.01918,1.0,3.0,1.0,0.0
2.0,40.74324,-73.99586,1.0,1.0,1.0,172.0
1.0,40.67857,-73.99485,0.0,3.0,2.0,0.0
1.0,40.69406,-73.9255,0.0,1.0,1.0,57.0
1.0,40.68949,-73.90588,1.0,1.0,1.0,0.0
2.0,40.80494,-73.95638,0.0,5.0,1.0,12.0
2.0,40.82961,-73.9474,1.0,1.0,6.0,0.0
2.0,40.78361,-73.9732,0.0,10.0,1.0,11.0
1.0,40.71833,-73.95748,0.0,3.0,1.0,272.0
2.0,40.75729,-73.96807,2.0,1.0,1.0,52.0
3.0,40.76107,-73.91364,1.0,5.0,1.0,37.0
3.0,40.72356,-73.83982,1.0,2.0,3.0,332.0
1.0,40.68189,-73.99695,0.0,1.0,1.0,0.0
2.0,40.7152,-74.01368,0.0,3.0,1.0,0.0
2.0,40.79877,-73.96259,0.0,3.0,1.0,6.0
2.0,40.74371,-73.98454,0.0,3.0,1.0,157.0
3.0,40.75975,-73.91992,0.0,2.0,1.0,20.0
3.0,40.72192,-73.83931,2.0,2.0,5.0,230.0
2.0,40.71982,-74.01134,0.0,1.0,1.0,0.0
2.0,40.76419,-73.98053,0.0,1.0,1.0,361.0
2.0,40.75055,-73.99482,1.0,1.0,20.0,351.0
1.0,40.68666,-73.91466,1.0,2.0,10.0,359.0
0.0,40.81724,-73.88878,1.0,3.0,4.0,335.0
2.0,40.76497,-73.98854,0.0,30.0,5.0,337.0
1.0,40.72287,-73.94135,0.0,5.0,1.0,159.0
0.0,40.86707,-73.90712,1.0,5.0,2.0,364.0
3.0,40.6891,-73.7733,1.0,1.0,5.0,359.0
1.0,40.67814,-73.89286,0.0,1.0,1.0,9.0
2.0,40.76401,-73.98051,1.0,1.0,5.0,342.0
0.0,40.86997,-73.84867,1.0,2.0,4.0,81.0
4.0,40.64605,-74.07897,0.0,4.0,6.0,230.0
1.0,40.68697,-73.9615,1.0,4.0,1.0,10.0
1.0,40.68463,-73.95161,0.0,5.0,1.0,43.0
2.0,40.80832,-73.95275,1.0,2.0,1.0,129.0
1.0,40.70512,-73.94347,1.0,1.0,1.0,0.0
2.0,40.79191,-73.94613,1.0,1.0,1.0,0.0
1.0,40.67973,-73.93058,1.0,2.0,3.0,288.0
2.0,40.80268,-73.94244,1.0,1.0,2.0,343.0
2.0,40.82294,-73.94453,0.0,3.0,1.0,7.0
3.0,40.59486,-73.78856,0.0,2.0,1.0,166.0
3.0,40.74024,-73.92428,1.0,1.0,1.0,0.0
2.0,40.72636,-73.98917,0.0,2.0,3.0,257.0
2.0,40.78173,-73.94621,1.0,1.0,1.0,0.0
2.0,40.812,-73.95367,1.0,3.0,1.0,0.0
2.0,40.72957,-73.97715,0.0,2.0,1.0,0.0
1.0,40.71091,-73.96029,1.0,5.0,1.0,0.0
1.0,40.66057,-73.94373,0.0,2.0,1.0,0.0
3.0,40.75837,-73.93429,0.0,3.0,1.0,353.0
2.0,40.76125,-73.98848,0.0,3.0,1.0,203.0
2.0,40.80176,-73.96638,1.0,3.0,1.0,0.0
1.0,40.67618,-73.98122,1.0,1.0,2.0,178.0
1.0,40.68634,-73.95499,1.0,2.0,3.0,321.0
2.0,40.74257,-73.98146,0.0,1.0,9.0,333.0
1.0,40.68701,-73.99054,1.0,2.0,2.0,0.0
2.0,40.84367,-73.93728,0.0,7.0,1.0,25.0
1.0,40.67801,-73.96106,0.0,7.0,1.0,0.0
2.0,40.80173,-73.96175,0.0,2.0,2.0,285.0
2.0,40.75283,-73.96736,0.0,3.0,8.0,316.0
3.0,40.75997,-73.90926,0.0,3.0,1.0,0.0
